id,Title,Year,upc
40722,50 First Dates,2004,4339615124
642427,50 TO 1,2014,43396456136
216630,50/50,2011,Scraping failed
14392,54,1998,3139815005
663789,54: The Director's Cut,1998,3139824736
205290,"5th Quarter , The",2011,24543745396
357705,6 Bullets,2012,4339640193
804099,"6 PLOTS (DVD+DC,STD,WS)",2016,3139825044
774679,"600 MILES (DVD+DC,STD,WS)",2016,3139824469
20636,"6th Day, The",2000,4339625333
602039,7 Assassins,2008,3139820701
9404,7 Faces of Dr. Lao,1964,883316397183
665349,"7 MINUTES (DVD,STD,WS)",2015,1313263516
49531,7 Seconds,2005,4339626879
94573,7th Cavalry,1956,24792900000000
5770,8 Mile,2002,2519200604
14946,8 Seconds,1994,794043478321
25782,84 Charing Cross Road,1987,4339607762
136273,88 Minutes,2008,1438196215
14270,8MM,1999,4339602854
56289,8MM 2,2005,4339612720
168531,9,2009,25195054584
10136,9 1/2 Weeks,1986,Scraping failed
7804,9 to 5,1980,24543232971
27817,976-Evil,1989,4339607871
5850,A Beautiful Mind,2001,2519208218
601405,A Belle for Christmas,2014,1313262417
198334,A Better Life,2011,774212002052
73081,A Big Hand for the Little Lady,1966,8539118429
113286,A Blueprint for Murder,,24934700000000
45098,A Breath of Scandal,1960,9736060064
347711,A Caribbean Mystery,1983,Scraping failed
499310,A Charlie Brown Christmas (Deluxe Edition),1965,88392908511
10503,A Christmas Carol,1938,88392965986
7712,A Christmas Carol,1984,Scraping failed
9894,A Christmas Story,1983,883929034604
371719,A Christmas Story 2,2012,883929267088
141507,A Christmas Too Many,2005,1223620447
281124,A Christmas Wedding Tail,2011,1313237219
10643,A Cinderella Story,2004,8539314532
208370,A Cinderella Story: Once Upon a Song,2011,883929196319
9482,A Clockwork Orange,1972,883929157761
423646,A Common Man,2013,26517600000000
8313,A Cool Dry Place,1999,Scraping failed
9268,A Cry in the Dark,1988,8539118682
275312,A Dangerous Method,2011,774212108914
76849,A Date with Judy,1948,88331639713
10004,A Day at the Races,1937,1256951392
160866,A Day in the Life,2009,3139811118
128998,A Dennis the Menace Christmas,2007,88392900067
7536,A Different Loyalty,2004,5737316660
145569,A Dirty Shame (The Neuter Verison),2004,794043780028
8549,A Dodgeball: True Underdog Story,2004,2454327889
9085,A Dog Day Afternoon,1975,8539113688
10278,A Face in the Crowd,1957,8539335262
8500,A Farewell to Arms,1957,24543177487
12516,A Few Good Men,1992,4339619170
528702,A Fighting Man,2014,4339643607
10692,A Fine Madness,1966,12569750166
129094,A Flintstone's Christmas Carol,1994,1476435942
412714,A Good Day to Die Hard,2013,Scraping failed
619140,A Good Day to Die Hard (Extended),2013,Scraping failed
561292,A Good Man,2014,31398199830
128047,A Good Man in Africa,1994,24827000000000
277448,A Good Old Fashioned Orgy,2011,4339638973
6877,A Good Woman,2006,5737317117
68677,A Good Year,2006,Scraping failed
423929,A Haunted House,2013,2519225291
58950,A History of Violence,2005,883929037926
766557,A Hologram for the King,2016,3139824767
10146,A Home at the End of the World,2004,8539389642
213173,A Horrible Way to Die,2010,1313228849
22692,A Knight's Tale,2001,4339615355
642576,"A LA MALA (DVD+DC,STD,WS)",2015,3139822525
405870,A Late Quartet,2012,Scraping failed
53092,A Lawless Street,1955,43396091238
12433,A League of Their Own,1992,4339647901
364159,A Letter to Elia,2010,24543782704
8481,A Letter to Three Wives,1949,24543131397
7690,A Life Less Ordinary,1997,25007400000000
9090,A Little Princess,1995,8539191002
5276,A Little Sex,1982,2519226232
493866,A Madea Christmas,2013,3139820614
241851,A Madea Christmas,2013,3139814568
34569,A Man Apart,2002,88392932115
8584,A Man Called Peter,1955,Scraping failed
39054,A Man Called Sledge,1971,4339601161
13580,A Man for All Seasons,1966,4339603256
341706,A Man for All Seasons,1988,Scraping failed
7699,A Midsummer Night's Dream,1999,Scraping failed
128962,A Mighty Heart,2007,883929301027
9880,A Mighty Wind,2003,762188511326
536505,A Million Ways to Die in the West,2014,2519221276
564877,A Most Wanted Man,2014,3139820493
638333,A Mouse Tale,,3139821434
87394,A Music Makers: A Man Called Adam,1966,1223610754
187299,A Nanny for Christmas,2010,1313224149
45077,A New Kind of Love,1963,9736063044
89613,A New Leaf,1971,887090043601
10005,A Night at the Opera,1935,1256959692
13929,A Night at the Roxbury,1998,9736122424
193960,A Nightmare in Las Cruces,2011,5737321674
14418,A Nightmare on Elm Street,1984,794043138911
172466,A Nightmare on Elm Street,2010,88392938227
16607,A Nightmare on Elm Street 2: Freddy's Revenge,1985,883929065110
16608,A Nightmare on Elm Street 3: Dream Warriors,1987,794043501821
16609,A Nightmare on Elm Street 4: The Dream Master,1988,794043501920
16603,A Nightmare on Elm Street 5: The Dream Child,1989,79404350202
20537,A Passage to India,1984,4339616225
9738,A Patch of Blue,1965,1256953632
129109,A Perfect Day,2006,4339623889
172310,A Perfect Getaway (Theatrical),2009,2519203571
172316,A Perfect Getaway (Theatrical),2009,2519203572
9169,A Perfect Murder,1998,883929241224
9676,A Perfect World,1993,883929237517
9934,A Piece of the Action,1977,8539288862
22079,A Place in the Sun,1951,9736058154
64523,A Prairie Home Companion,2006,794043105418
14240,A Price Above Rubies,1998,71795100348
364722,A Princess for Christmas,2011,3139815121
175971,A Prophet,2009,4339635598
15286,A Raisin in the Sun,1961,4339600919
138351,A Real Friend,2006,26469000000000
93022,A Return to Salem's Lot,1987,883316246603
561276,A River of Skulls,2014,3139819980
15418,A River Runs Through It,1992,4339632533
10953,A Scanner Darkly,2006,883929130931
45653,A Separate Peace,2004,9736803864
286319,A Separation,2011,25189600000000
168796,A Serious Man,2009,2519505439
456287,A Shallow Grave,1995,Scraping failed
190764,A Shine of Rainbows,2010,Scraping failed
14249,A Simple Plan,1998,883929303083
4840,A Simple Wish,1997,2519211155
176620,A Single Man,2009,4339635386
10778,A Slight Case of Murder,1938,1256967951
6691,A Slipping Down Life,2004,5737316476
14536,A Soldier's Story,1984,1438175665
95581,A Song to Remember,1945,4339635489
10596,A Sound of Thunder,2005,8539314592
9248,A Star Is Born,1954,883929096749
10479,A Star is Born,1976,883929266029
10439,A Stranger Is Watching,1982,1256967592
9057,A Streetcar Named Desire,1951,88392918967
67010,A Summer Place,1959,8539288872
10845,A Tale of Two Cities,1935,1256979369
142006,A Thousand and One Nights,1945,24830100000000
311464,A Thousand Words,2012,883929301287
142000,A Time for Killing,,24935800000000
9058,A Time to Kill,1996,883929039258
341750,A Touch of Class,1973,5393983612
33217,A Very Brady Sequel,1996,883929304608
